pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
394	Bir adam bisikletin yanında oturuyor ve bir not yazıyor	Bir adam bisikletin yanında duruyor ve bir parça kağıda yazıyor	3.6	NEUTRAL
402	Bir grup izci çimlerin içinde yürüyüş yapıyor	Bir grup kaşif çimlerin içinden geçiyor	4.1	NEUTRAL
417	İki adam karlı bir yolda bir geziye mola veriyor	Arabalı iki adam karlı bir yolun yanında	4.0	NEUTRAL
450	Bir bayan sörf yapıyor ve dalga sürüyor	Sarışın bir kız dalgalara bakıyor	3.3	NEUTRAL
520	Gümüş pantolon, pembe çanbottomlar ve pembe eşarp giyen kadın bisiklete biniyor	Gümüş pantolonlu veya bisiklete binen kadınlar tarafından giyilecek pembe çan kutuları ve pembe bir eşarp	3.3	NEUTRAL
526	Gümüş pantolon, pembe çanbottomlar ve pembe eşarp giyen kadın bisiklete biniyor	Bir yaya kadın boa giyen biniciler için pembe bisikletler inşa ediyor	2.4	NEUTRAL
530	Bir motorcu siyah olan dişli giyiyor	Siyah giyen bir motorcu dişlileri kırıyor	3.1	NEUTRAL
592	Bir kadın çok büyük bir pelerin çıkarıyor ve abartılı bir elbiseyi ortaya çıkarıyor	Bir kadın çok büyük bir pelerin giyiyor ve abartılı bir elbiseyi gizliyor	3.5	CONTRADICTION
619	Bir çocuk tırmanma için yapay olarak inşa edilmiş bir duvara tırmanıyor ve bir ipe bağlı	Korkulu görünen küçük bir çocuk tırmanma duvarında.	3.5	NEUTRAL
630	Bir adam okyanusun yakınında olan yüzme havuzuna bir çocuk fırlatmaz	Adam bir çocuğu okyanusa yakın yüzme havuzuna atıyor	3.5	CONTRADICTION
647	Bir adam iple uçuruma tırmanıyor	Pembe tırmanma teçhizatı olan bir kişi kayayı halatladı	3.3	NEUTRAL
651	Bir kişi bir iple kaya tırmanıyor, bu da pembe	Bir adam iple uçuruma tırmanıyor	4.6	NEUTRAL
687	Bir beyaz köpek Black Street'e bakıyor	Bir sokakta farklı ırklardan iki köpek birbirine bakıyor	3.4	NEUTRAL
698	Tüylü ve siyah olan bir köpek arka bahçede ve ağzında bir sepet taşıyor	Muhtemelen çam olan bir ağacın yanındaki bir köpek, bir kova ısırıyor	2.785	NEUTRAL
717	Bir yarışmada birkaç adam dışarıda koşuyor	Bir yarışmada birkaç adam içeride çalışıyor	3.9	CONTRADICTION
718	Bir yarışmada birkaç adam dışarıda koşuyor	Birkaç adam dışarıda yarışmalar yapıyor	3.9	NEUTRAL
765	Çocuk mutlu bir şekilde karda kayıyor	Karla kaplı bir tepedeki bir çocuk kırmızı ceket ve siyah bir şapka giyiyor ve dizlerinin üzerine kayıyor	4.0	NEUTRAL
780	Yaşlı bir kadın, beyaz bir köpeğin yakınında	Bir kadın ve bir köpek bir ağaç güdük üzerinde oturuyor	3.1	NEUTRAL
816	Bir grup insan koruyucu ekipmanlarla donatılmıştır	Bir grup insan koruma için kullanılan dişli ile donatılmıştır	5.0	ENTAILMENT
860	Bir beyaz ve bir siyah köpek çim üzerinde yan yana koşuyor	Siyah bir ceket olan bir köpek ve beyaz bir köpek çim üzerinde koşuyor	4.2	ENTAILMENT
873	Pek çok insan bir buz pateni parkında değil	Dışarıya yerleştirilmiş bir buz pateni pisti insanlarla doludur	3.5	NEUTRAL
882	Mavi ve beyaz üniformalı kız tezahürat yapıyor	Kız mavi ve beyaz üniformalı adamı tezahürat ediyor	3.1	NEUTRAL
913	Bir kadın bir erkek tarafından öpülüyor	Bir erkek tarafından öpülen bir kadın yok	4.2	CONTRADICTION
933	Kırmızı gömlekdeki kız bir balon üflüyor	Genç kız büyük bir balon üflüyor	3.8	NEUTRAL
947	Bazı Corndogs, bir vagonda olan iki küçük çocuk tarafından yeniliyor, bu gerçekten küçük	İki küçük çocuk, gerçekten küçük bir vagonda mısır köpekleri yiyor	4.8	ENTAILMENT
980	Bir adam vahşi doğada atılan bir pistte bir ata biniyor	Bir at kovboyu mavi ve kırmızı renkli pantolon giyiyor	2.1	NEUTRAL
987	Bir yetişkin amfitiyatro içinde ve bir çocukla konuşuyor	Amfitiyatroda bir çocukla konuşan yetişkin yok	4.3	CONTRADICTION
988	Amfitiyatroda bir yetişkin ve bir çocuk hakkında bir konuşma verilir	Bir yetişkin amfitiyatro içinde ve bir çocukla konuşuyor	3.1	NEUTRAL
1039	Snowboardcu Beyaz Karda Sıçramıyor	Snowboard uygulayan bir kişi havaya atlar	3.3	NEUTRAL
1102	Bir kadın ata biniyor	Bir adam kulaklık içeren küçük bir paket açıyor	1.0	NEUTRAL
1137	Bir balık denizde bir kaplumbağa avlanıyor	Kaplumbağa balığı takip ediyor	3.5	NEUTRAL
1170	Bir kadın tarafından bir patates dilimleniyor	Bir kadın havuç dilimliyor	3.0	NEUTRAL
1177	Bir kadın saçlarını tarıyor	Bir kadın saçlarını düzenliyor	4.1	NEUTRAL
1178	Bir kadın saçlarını tarıyor	Saçlarını tarayan kadın yok	3.6	CONTRADICTION
1190	Bir erkek ve bir kadın ormanlık bir alanda yürüyüş yapıyor	Bir erkek ve bir kadın ormanda birlikte yürüyor	4.3	ENTAILMENT
1192	Bir erkek ve bir kadın ormanda birlikte yürüyor	Bir erkek ve bir kadın ormanlık bir alanda yürüyor	4.6	ENTAILMENT
1232	Bir adam bir topuz dilimliyor	Bir adam domates dilimliyor	3.6	NEUTRAL
1236	Bir kadın yalnız dans ediyor ve şarkı söylüyor	Bir kadın diğer kadınlarla dans ediyor ve şarkı söylüyor	3.285	CONTRADICTION
1237	Bazı kadınlar dans ediyor ve şarkı söylüyor	Bir kadın yağmurda dans ediyor ve şarkı söylüyor	3.8	NEUTRAL
1241	Bir kadın diğer kadınlarla dans ediyor ve şarkı söylüyor	Bir kadın yağmurda dans ediyor ve şarkı söylüyor	4.1	NEUTRAL
1266	Bir grup sahnede çalıyor	Bir grup sahnede çalıyor	5.0	ENTAILMENT
1302	Bir adam flüt oynuyor	Bir adam topla oyun oynuyor	1.5	NEUTRAL
1333	Kadın diğer kadını ölçüyor	Bir kadın başka bir kadın tarafından ölçülüyor	4.9	ENTAILMENT
1390	Bir kişi bir motosikletin yanında duruyor	Bir kişi bir soğanı kesiyor	1.2	NEUTRAL
1396	Bir adam çığlık atıyor	Bir adam korkuyor	3.6	NEUTRAL
1400	Üzgün bir adam ağlıyor	Bir adam çığlık atıyor	2.9	NEUTRAL
1410	Bir kadın karidesleri kesiyor	Bir adam tereyağını küçük bir kapa kesiyor	1.4	NEUTRAL
1412	Erkekler kütükleri kesiyor	Erkekler odun kesiyor	4.5	ENTAILMENT
1443	Bir adam radyoda konuşuyor	Bir adam tükürüyor	1.7	NEUTRAL
1469	Üç genç adam koşuyor, atlıyor ve bir otomatın yanında tekmeliyor	Bir otomatın yanında koşan, zıplayan ve tekme atan bir adam yok	3.8	CONTRADICTION
1470	Üç adam bir duvardan atlıyor	Üç genç adam öfkeyle koşuyor, atlıyor ve bir otomatın yanında tekme atıyor	2.5	NEUTRAL
1487	Adam tavuk için sosu karıştırmıyor	Adam tavuk için sosu karıştırıyor	4.0	CONTRADICTION
1493	Bir adam elektro gitar çalıyor	Bir adam gitar çalıyor	4.9	ENTAILMENT
1495	Bir adam gitar çalıyor	Bir adam bir gitar çalıyor	4.9	ENTAILMENT
1503	Karate kostümlerinde üç erkek savaşmak	Karate kostümlerinde üç erkek savaşıyor	3.3	CONTRADICTION
1506	Üç adam açık havada karate uyguluyor	Karate kostümlerinde üç erkek savaşıyor	3.8	NEUTRAL
1525	Bir kadın biraz çiçek dikiyor	Bir kadın brokoli kesiyor	1.2	NEUTRAL
1584	Badger tarafından bir delik açılıyor	Bir porsuk dünyayı kurnazca kazıyor	4.5	ENTAILMENT
1608	Bir yılan bir erkek tarafından bir fare ile besleniyor	Yılan hiçbir yılan bir erkek tarafından bir fare beslenmez	4.7	CONTRADICTION
1628	Bazı malzemeler bir kişi tarafından bir kasede karıştırılıyor	Bazı malzemeler bir kişi tarafından bir kasede ayrılıyor	4.6	NEUTRAL
1676	Bir tekne huzur içinde suyun üzerinde yelken açıyor	Gitar adam tarafından oynanıyor	1.1	NEUTRAL
1690	Süt bir kedi tarafından sarhoş oluyor	Kedi biraz süt içiyor	5.0	ENTAILMENT
1703	Bir adam plastikten yapılmış bir kabı tamamen boşaltır	Bir adam plastikten yapılmış bir kabı boşaltır	4.7	ENTAILMENT
1711	Bir adam plastikten yapılmış bir kabı boşaltır	Bir adam dikkatsizce bir kurbağa tutuyor	1.1	NEUTRAL
1754	Bir kız tarafından güzel bir şekilde oynanıyor	Bir kız tarafından bir flüt oynanıyor	4.6	ENTAILMENT
1807	Yetişkin gitarı yüksek sesle çalıyor	Bir adam tarafından bir flüt oynanıyor	2.4	NEUTRAL
1811	Bir adam gitarı yüksek sesle çalıyor	Bir adam tarafından oynanmaz bir flüt	2.4	NEUTRAL
1839	Küçük olan kız, saçlarını bir midilli kuyruğuna dikkatlice tarıyor	Küçük olan kız, saçlarını midilli kuyruğuna tarıyor.	4.6	ENTAILMENT
1847	Bir adam sandalyede oturuyor	Küçük olan kız saçlarını karıştırıyor	1.0	NEUTRAL
1861	Konuşan papağanın önündeki mikrofon susturuluyor	Papağan mikrofonla konuşuyor	4.0	NEUTRAL
1877	Tepsilerdeki yavru kedi, bir reklam için yiyecek olarak yeniliyor	Tepsilerdeki yiyecekler yavru kedi tarafından yeniyor	3.5	NEUTRAL
1881	Tepsilerdeki yiyecekler yavru kedi tarafından yeniyor	Birkaç yavru yemek yiyor	4.2	ENTAILMENT
1964	Bir kişi gitar çalıyor ve şarkı söylüyor	Bir kişi gitar çalıyor ve şarkı söylüyor	4.9	ENTAILMENT
2001	At bir adam tarafından sürülüyor	Bir adam ata biniyor	5.0	ENTAILMENT
2019	Bir adam bir ağaca tehlikeli bir bıçak atıyor	Bıçaklı bazı tehlikeli adamlar bir ağaca karşı bisiklet atıyor	3.3	NEUTRAL
2058	Bir bayan biraz et kesiyor	Biraz et bir kadın tarafından parçalara ayrılıyor	4.8	ENTAILMENT
2089	Adam bir röportajı inkar ediyor	Adam bir röportaj veriyor	3.2	CONTRADICTION
2096	Adam bir röportaj veriyor	Bir adamın beyaz arabası uzaklaşıyor	1.1	NEUTRAL
2130	Küçük bir çocuk bir köpeği azarlıyor	Küçük bir çocuk bir köpekle oynuyor	3.4	NEUTRAL
2157	Kurulan bir kameranın resmi, gün batımında sahilde bir adam tarafından çekiliyor	Bir adam gölün fotoğraflarını çekiyor	3.0	NEUTRAL
2166	Bir kadın bir makineyle dikiyor	Bir kadın dikiş için yapılmış bir makine kullanıyor	4.8	ENTAILMENT
2221	Birisi attan düşüyor	Adam bir attan çıkarılmadı	3.9	NEUTRAL
2229	Bir kadın parmaklarını masaya dokunuyor	Bir kadın parmaklarını masanın üzerinde dinliyor	4.1	NEUTRAL
2231	Bir kadın parmaklarına dokunuyor	Bir kadın parmaklarını masanın üzerinde dinliyor	3.1	NEUTRAL
2284	Kedi bir karpuzla tutkuyla oynuyor	Kedi bir karpuzla oynuyor	4.7	ENTAILMENT
2286	Kedi bir karpuzla tutkuyla oynuyor	Bir kedi karpuz ile oynuyor	4.5	ENTAILMENT
2362	Bir kişi bir darbe meşalesi ile bazı kameralar yakıyor	Uzun kişi kameralara ateş açıyor	3.8	NEUTRAL
2364	Bazı kameralar darbe meşalesi olan bir kişi tarafından yakılıyor	Kişi kameralara ateş açıyor	4.2	ENTAILMENT
2366	Bazı kameralardan biri yanan bir meşale esiyor	Kişi kameralara ateş açıyor	3.3	NEUTRAL
2385	Bir kişi bir soğanı parçalara ayırıyor	Bir kişi bir havuçu parçalara ayırıyor	3.4	NEUTRAL
2392	Adam patatesleri dilimlemiyor	Adam bir patates dilimliyor	2.7	CONTRADICTION
2402	Birisi domates kesiyor	Kadın bütün bir domates tutuyor	3.5	NEUTRAL
2404	Bayan domates dilimliyor	Domates kesen biri yok	3.0	CONTRADICTION
2405	Bayan domates dilimliyor	Birisi domates kesiyor	4.7	ENTAILMENT
2410	Bir adam biraz yemek hazırlıyor	Bir soğan kadın tarafından bıçakla dilimleniyor	1.3	NEUTRAL
2430	Bir adam yolda koşuyor	Bir adam koşuyor	4.4	ENTAILMENT
2476	Bazı insanlar şarkı söylüyor	Bir grup insan şarkı söylüyor	4.7	ENTAILMENT
2485	Adam gitar çalıyor	Bir adam trompet çalıyor	2.2	NEUTRAL
2525	Birkaç kişi bir sal üzerinde yüzüyor	İnsanlar bir sal biniyor ve kürek çekiyor	3.8	NEUTRAL
2527	İnsanlar bir sal biniyor ve kürek çekiyor	Dört kişi bir sal üzerinde yüzüyor	4.2	NEUTRAL
2535	Cob üzerinde mısır yiyen kedi yok	Bir kedi biraz mısır yiyor	2.5	NEUTRAL
2544	Kişi bir sebzeyi dilimliyor	Kimse domates dilimlemiyor	3.1	NEUTRAL
2557	Birisi gitar çalıyor	Birisi gitar çalıyor	4.5	ENTAILMENT
2566	Üç kadın dans ediyor	Birkaç kadın dans ediyor	4.6	ENTAILMENT
2604	Maymun tarafından bir boğa köpeği fırçalanıyor	Maymun bir boğa köpeği fırçalıyor	4.8	ENTAILMENT
2606	Maymun bir boğa köpeği fırçalıyor	Bir boğa köpeği maymunu fırçalıyor	3.9	NEUTRAL
2662	Bayan mikser için bir yumurta çatlamıyor	Bayan eti dilimliyor	2.335	NEUTRAL
2668	Kafesten birkaç gelincik tırmanıyor	Gelincikler bir raftan aşağı iniyor	3.1	NEUTRAL
2678	Bir adam aceleyle garajda arabaya giriyor	Bir adam arabaya giriyor	4.1	ENTAILMENT
2679	Bir adam garajda bir arabayı park ediyor	Bir adam arabaya giriyor	3.4	NEUTRAL
2687	Kişi bir karanfil sarımsak parçasını parçalara ayırıyor	Kişi bir karanfil sarımsak parçasını parçalara ayırmıyor	3.0	CONTRADICTION
2704	Erişte bir kadın tarafından suda kaynatılıyor	Bir kadın suda erişte kaynatıyor	5.0	ENTAILMENT
2712	Koruyucu boks eldivenleri giyen başka bir adama tekme atan karate uygulayıcısı yok	Bir karate uygulayıcısı koruyucu boks eldivenleri giyen başka bir adama tekmeliyor	4.3	CONTRADICTION
2720	Adam bir eğitmenle tekme boks	Koruyucu boks eldivenleri giyen başka bir adama tekme atan karate uygulayıcısı yok	3.0	NEUTRAL
2721	Adam bir eğitmenle tekme boks	Bir karate uygulayıcısı koruyucu boks eldivenleri giyen başka bir adama tekmeliyor	4.0	NEUTRAL
2722	Oturan bir kadın şarkı söylüyor ve gitar çalıyor	Oturmuş bir kadın şarkı söylüyor ve gitar çalıyor	5.0	ENTAILMENT
2726	Bir kaya üzerinde bir kadın battaniyenin üzerinde yatıyor ve bir kitap okuyor	Bir kadın kitap okuyan birine yatan bir battaniyenin üzerinde sallanıyor	2.7	NEUTRAL
2738	Kadın elektro gitar çalmıyor	Bir adam akustik gitar çalıyor	3.0	NEUTRAL
2766	Bir erkek ve kadın konuşuyor	Bir erkek ve bir kadın mutlu bir şekilde yiyor	2.6	NEUTRAL
2772	Bir kişi bir tencereye pişirmek için yağ döküyor	Bir kişi bir tencereye yemek yağ döküyor	5.0	ENTAILMENT
2791	Küçük olan bir kobay, yerde kemiriyor ve bir parça havuç yiyor	Küçük bir kobay, yerde bir parça havuç yiyor ve yemek yiyor	4.8	ENTAILMENT
2795	Küçük bir kobay, yerde bir parça havuç yiyor ve yemek yiyor	Bir kobay bir havuç yiyor	4.5	ENTAILMENT
2812	Bir uçak iniş	Animasyonlu bir uçak çıkıyor	2.7	NEUTRAL
2822	Bir kadın bir kaseden karışımı alıyor	Bir kadın tavada yumurta hazırlıyor	2.7	NEUTRAL
2829	Bayan göz farı üzerinde kalemle	Kadın göz farı üzerinde kalemle	5.0	ENTAILMENT
2842	Küçük bir kız sahnede büyük bir piyano çalıyor	Bir kız piyano uyguluyor	3.8	NEUTRAL
2886	Bir kadın flüt oynuyor	Kadın flüt oynamıyor	3.2	CONTRADICTION
2898	Adam barbellleri kaldırıyor	Adam ağırlık kaldırıyor	4.3	ENTAILMENT
2911	Bir kadın makyaj yapıyor	Makyaj yapan kadın yok	4.0	CONTRADICTION
2932	Kadın bir havuç kesiyor	Bir soğan bir kadın tarafından dilimleniyor	2.4	NEUTRAL
2936	İki adam sığır kaleminde savaşıyor	İki adam sığır kaleminin dışında	3.0	NEUTRAL
2965	Büyük bir yeşil top bir patates eksik	Büyük bir yeşil top bir patates çalıyor	3.3	NEUTRAL
2967	Büyük bir yeşil top bir patates vuruyor	Büyük yeşil renkli bir top bir patates vuruyor	4.8	ENTAILMENT
2968	Büyük bir yeşil top bir patates eksik	Büyük bir yeşil top bir patates vuruyor	3.5	NEUTRAL
2972	Büyük bir yeşil top bir patates vuruyor	Büyük bir yeşil top bir patates eksik	3.4	CONTRADICTION
2996	Bir adam gitar çalıyor	Bir adam gitar bırakıyor	3.3	NEUTRAL
3002	Bir kadın elektro gitar çalıyor	Bir adam gitar bırakıyor	2.3	NEUTRAL
3036	Köpek plastik bir kap ile oynamıyor	Köpek plastik bir kap ile oynuyor	3.2	CONTRADICTION
3061	Bir kadın araba sürüyor ve yanında oturan adamla konuşuyor	Araba süren ve yanında oturan adamla konuşan kadın yok	4.7	CONTRADICTION
3107	Bir adam oturan bir gitar oyuncusu döşüyor	Bir adam bir odada yerde oturuyor ve bir gitar çalıyor	2.3	NEUTRAL
3122	Bir kadın gözler için bir kalem kullanıyor ve göz kapağına göz astarı uyguluyor	Bir kadın göz kapağına kozmetik uyguluyor	4.6	ENTAILMENT
3123	Göz kalemi kullanan ve göz kapısına göz astarı uygulayan kadın yok	Bir kadın göz kapağına kozmetik uyguluyor	3.1	CONTRADICTION
3143	Bir maymun bir kişinin eldivenine tekmeliyor	Maymun dövüş sanatları uyguluyor	3.6	NEUTRAL
3174	Bir çocuk bir enstrümanı atıyor	Genç bir çocuk rüzgar enstrümanı çalıyor	2.8	NEUTRAL
3181	Bir adam ormanda trekking yapıyor	Adam ormanda yürüyüş yapmıyor	3.8	NEUTRAL
3222	Köprü boyunca yürüyen bir çocuk yok	Bir çocuk bir köprüden yürüyor	3.7	CONTRADICTION
3250	Bir kadın iki yumurtayı bir tencereye yerleştiriyor	Bir kadın bir tencereye iki yumurta koyuyor	4.9	ENTAILMENT
3258	Bir adam gitar çalıyor	Kimse gitar çalmıyor	3.7	CONTRADICTION
3275	Bir çocuk okyanusun dalgalarına girip çıkıyor	Bir çocuk okyanus dalgalarının içine girip çıkıyor	4.9	ENTAILMENT
3291	Bir kadın havuç bırakıyor	Bir kadın domuz pirzolası kaplıyor	1.7	NEUTRAL
3292	Bir kadın havuç ızgarıyor	Bir aşçı domuz pirzolasını kaplıyor	2.1	NEUTRAL
3322	Kadın biraz ekmek ve kızarmış domuz eti	Bir kadın ekmekli bir domuz pirzolası pişiriyor	3.2	NEUTRAL
3338	Bir çatı üzerinde duran ve keman çalan kimse yok	Bir adam çatı üzerinde duruyor ve keman çalıyor	3.4	CONTRADICTION
3364	Bir kadın karides temizliyor	Kadın bir karides temizliyor	4.9	ENTAILMENT
3373	Bir kadın su scooter'a biniyor	Bir kadın su için bir scooter sürüyor	4.1	ENTAILMENT
3384	Bir panda ayısı biraz bambu yiyor	Bazı bambu bir panda ayı tarafından yeniliyor	4.8	ENTAILMENT
3398	Birisi yumurtayı dövüyor	Kadın bir kasede yumurtaları karıştırmıyor	3.2	NEUTRAL
3420	Bir kadın balığı kemiriyor	Büyük bir balık bir adamı yakalar	1.9	NEUTRAL
3433	Bir tepsi bir kişi tarafından tereyağlanıyor	Bir kişi bir tepsiyi tereyağlandırıyor	5.0	ENTAILMENT
3459	Adam bir baltayla bir ağaç gövdesini kesiyor	Bir adam bir baltayla kütük kesiyor	4.4	NEUTRAL
3485	Kedi, levrek üzerindeki masadaki pencereden dışarı bakıyor	Masaya tünemiş kedi pencereden dışarı bakıyor	4.1	NEUTRAL
3501	Bir köpek bir bebeği yalıyor	Köpek bebeği yalıyor	4.8	ENTAILMENT
3505	Bir kadın sarımsaktan uzaklaşıyor	Bir kadın sarımsak kesiyor	3.6	NEUTRAL
3518	Adam dans etmiyor	Bir kadın dans ediyor	3.3	NEUTRAL
3536	Birisi bir tavada bamyayı pişiriyor	Bamya bir tavada pişiriliyor	4.9	ENTAILMENT
3586	Bir adam davul çalıyor	Bir adam davul uyguluyor	4.6	ENTAILMENT
3598	Bir adam zemin egzersizleri yapıyor	Bir adam egzersiz yapıyor	4.3	ENTAILMENT
3625	Bir kadın eti tavaya koyuyor	Bir tavaya et koyan kadın yok	3.4	CONTRADICTION
3626	Birisi eti tavaya bırakıyor	Et bir tavaya bırakılıyor	4.7	ENTAILMENT
3657	Bir çocuk bir sürahiyi suyla dolduruyor	Bir sürahi bir erkek tarafından su ile dolduruluyor	5.0	ENTAILMENT
3661	Bir kadın kupadaki bir musluktan suyu topluyor	Bir çocuk bir sürahiyi suyla dolduruyor	2.7	NEUTRAL
3670	Yürüyen bir adam üzerine yağmur yağıyor	Bir adam yağmurda yürüyor	4.9	ENTAILMENT
3680	Yarışçılar bir pistte koşuyor	Bir pistten aşağı koşan yarışçılar yok	3.7	CONTRADICTION
3711	Bir oyuncak treni bir oyuncak arabaya çarpıyor	Bir oyuncak treni bir oyuncak arabası eksik	3.8	CONTRADICTION
3721	Kişi soğan dilimliyor	Soğan kişi tarafından dilimleniyor	4.9	ENTAILMENT
3733	Yüzücüler bir gölde yarışıyor	Bazı yarışçılar gölde yüzüyor	4.3	ENTAILMENT
3747	Yetenekli bir adam gitar çalıyor	Bir kadın gitar çalıyor	3.2	NEUTRAL
3790	Bir kişi bir kabak ovuyor	Kişi bir kabak ovuyor	5.0	ENTAILMENT
3812	Bir kadın yeşil olan bir biberi dilimliyor	Bir kadın yeşil bir biber dilimliyor	4.8	ENTAILMENT
3855	Bir adam bir yolun ortasında duruyor	Bir adam bir yolda yürüyor	3.2	NEUTRAL
3861	Vahşi doğadan bir adam yürüyüş yolunda	Bir adam bir yolda yürüyor	3.4	NEUTRAL
3862	Adam vahşi doğada bir yol boyunca yürüyor	Bir adam tembel bir şekilde yolda yürüyor	3.285	NEUTRAL
3880	Bir adam bir odanın tavanında dans ediyor	Adam tavanda baş aşağı dans ediyor	4.4	ENTAILMENT
3897	Egzersiz yapan kimse yok	Bir adam egzersiz yapıyor	3.4	CONTRADICTION
3909	Adam şarkı söylüyor ve gitar çalıyor	Gitar bir adam tarafından oynanıyor	4.3	ENTAILMENT
3910	Bir adam gitarı paketliyor	Adam şarkı söylüyor ve gitar çalıyor	3.4	NEUTRAL
3922	Erkekler bazı insanların önünde dans etmiyor	Erkekler bazı insanların önünde dans ediyor	3.8	CONTRADICTION
3941	Bir çocuk bir takvime bakıyor	Takvimi kontrol eden çocuk yok	3.9	CONTRADICTION
3982	Bir kadın patates soyuyor	Bir kadın patates buzdolabında	3.7	NEUTRAL
3996	Şarkı söyleyen ve gitar çalan bir adam yok	Bir çocuk piyano çalıyor	2.2	NEUTRAL
4001	Bir adam pervasızca bir ipe tırmanıyor	Bir adam bir ipe tırmanıyor	4.3	ENTAILMENT
4006	Bir adam bir ipe tırmanıyor	Adam bir ipe tırmanıyor	4.8	ENTAILMENT
4011	Bir adam bir ipe tırmanıyor	Bir adam bir ipe tırmanıyor	4.8	ENTAILMENT
4015	Bayan kanguru alıyor	Kadın kanguru alıyor	4.9	ENTAILMENT
4031	Bir adam elleriyle fayans kırıyor	Eliyle tahta tahtaları kıran adam yok	2.9	NEUTRAL
4054	Bir köpek yolda nefessizce koşuyor	Yolda bir köpek koşuyor	4.5	ENTAILMENT
4060	Bir adam yolda koşuyor	Bir köpek yolda nefessizce koşuyor	2.6	NEUTRAL
4066	Adam bir ağaçta bıçak fırlatıyor	Adam bir ağaca bıçak atıyor	4.6	ENTAILMENT
4067	Adam bir ağaçtan bıçakları çıkarıyor	Adam bir ağaca bıçak atıyor	3.3	NEUTRAL
4079	Bir adam ata biniyor	Bir adam ata biniyor	4.7	ENTAILMENT
4086	Resim çizen bir adam yok	Bir adam bir resim çiziyor	3.9	CONTRADICTION
4114	Yemek yiyen adam yok	Bir adam pizza yiyor	3.2	CONTRADICTION
4135	Bir köpek bir trambolin üzerine zıplıyor	Bir köpek bir trambolin üzerine atlıyor	4.7	ENTAILMENT
4140	Birkaç erkek tramboline atlıyor	Bir adam bir tramboline geri dönüyor	3.4	NEUTRAL
4155	Bir adam ahşap bir flüt oynuyor	Ahşap bir flüt oynayan adam yok	3.7	CONTRADICTION
4157	Piyano oynayan adam yok	Bir adam piyano çalıyor	4.0	CONTRADICTION
4164	Adam tahtadaki çizimi siliyor	Kadın tahtadaki çizimi siliyor	3.7	NEUTRAL
4187	Bir oyuncakla oynayan köpek yok	Bir köpek bir bebek yiyor	3.8	CONTRADICTION
4191	Bir köpek bir bebek yiyor	Bir köpek oyuncakla oynuyor	3.6	NEUTRAL
4196	Bir adam dans ediyor	Bir adam hararetle dua ediyor	1.7	NEUTRAL
4288	Kadın pişmiş ahtapot dilimliyor	Bir kadın bir ahtapotu kesiyor	4.4	ENTAILMENT
4321	Bir adam çiziyor	Çizim yok	3.8	CONTRADICTION
