pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
227	Sarışın kız ses ekipmanının önünde dans ediyor	Beyaz dans eden kız yok	3.3	NEUTRAL
232	Üç Asyalı çocuk dans ediyor ve bir adam bakıyor	Üç Asyalı çocuk dans ediyor ve bakan erkek yok	3.9	CONTRADICTION
233	Üç Asyalı çocuk dans ediyor ve bir adam bakıyor	Asyalı bir adam dans ediyor ve üç çocuk bakıyor	3.7	NEUTRAL
234	Bir ailenin çocukları oynuyor ve bekliyor	Üç Asyalı çocuk dans ediyor ve ciddi bir adam bakıyor	1.9	NEUTRAL
237	Bir ailenin çocukları sabırla oynuyor ve bekliyor	Üç Asyalı çocuk dans ediyor ve bir adam bakıyor	2.3	NEUTRAL
238	Oynayan ve bekleyen çocuk yok	Üç Asyalı çocuk dans ediyor ve bir adam bakıyor	1.6	NEUTRAL
240	Bir kadın kafasına bir Mısır şapkası takıyor	Bir kadın Mısır başlığı giyiyor	4.3	ENTAILMENT
241	Bir kadın Mısır başlığı giyiyor	Bir kadın Hint Headdress giyiyor	4.0	NEUTRAL
248	Siyah kadın başlık üzerine gözlük takıyor	Bir kadın Mısır başlığı giyiyor	3.6	NEUTRAL
249	Bir kadın kafasına bir Mısır şapkası takıyor	Kadın gözlük ve siyah bir başlık giyiyor	2.5	NEUTRAL
254	Bir yürüyüşçü dağın tepesinde ve dans ediyor	Dağın tepesinde yürüyüşçü dansı yok	3.2	CONTRADICTION
256	Bir kaya üzerinde, garip bir pozisyonda duran bazı ağaçların üstünde bir adam yok	Bir adam bazı ağaçların üstünde yüksek bir kaya üzerinde ve garip bir konumda duruyor	4.3	CONTRADICTION
257	Bir yürüyüşçü dağın tepesinde ve dans ediyor	Bir adam bazı ağaçların üstünde yüksek bir kaya üzerinde ve rahatsız edici bir konumda duruyor	2.5	NEUTRAL
258	Bir yürüyüşçü dağın tepesinde ve dans ediyor	Bir kaya üzerinde, garip bir pozisyonda duran bazı ağaçların üstünde bir adam yok	2.5	NEUTRAL
259	Bir adam bazı ağaçların üstünde yüksek bir kaya üzerinde ve garip bir konumda duruyor	Bir yürüyüşçü dağın tepesinde ve neşeli bir dans yapıyor	2.9	NEUTRAL
260	Dağın tepesinde yürüyüşçü dansı yok	Bir adam bazı ağaçların üstünde yüksek bir kaya üzerinde ve garip bir konumda duruyor	2.4	NEUTRAL
265	Kahverengi at, rodeoda kırmızı bir namluya çok yakın	Kahverengi at rodeoda kırmızı bir namluya yakın	4.8	ENTAILMENT
266	Kahverengi at rodeoda kırmızı bir namluya yakın	Kahverengi at, rodeodaki kırmızı bir namlu olmaktan uzaktır	3.6	CONTRADICTION
269	Bir cowgirl kahverengi bir ata biniyor ve bir varil viraj ediyor	Kahverengi at rodeoda kırmızı bir namluya yakın	3.2	NEUTRAL
272	Bir cowgirl ata biniyor ve bir namlu köşeli	Kahverengi at rodeoda kırmızı bir namluya yakın	3.8	NEUTRAL
273	Soğuk suda bir çocuk duruyor	Bir çocuk suda duruyor	4.1	ENTAILMENT
276	Çocuk mavi okyanusun yanında oturuyor	Çocuk mavi okyanusta dolaşıyor	3.2	CONTRADICTION
277	Bir çocuk suda duruyor	Çocuk mavi okyanusta yüzüyor	3.0	NEUTRAL
279	Çocuk mavi okyanusta dolaşıyor	Soğuk suda bir çocuk duruyor	3.3	NEUTRAL
283	Bir adam sahnede gitar çalıyor	Sahnede gitar oynayan adam yok	3.6	CONTRADICTION
286	Bir adam sahnede gitar çalıyor	Bir gitaristin sarışın ve uçucu saçları var	3.0	NEUTRAL
287	Bir adam sahnede gitar çalıyor	Kel bir kişi gitar çalıyor	3.8	NEUTRAL
289	Sahnede gitar oynayan adam yok	Bir kişinin sarışın ve uçucu saçları vardır ve gitar çalıyor	3.4	NEUTRAL
291	Birkaç çocuk oturuyor ve dizlerini kaldırıyor	Birkaç çocuk uzanıyor ve dizlerini kaldırıyor	4.0	NEUTRAL
293	Yerde iki genç kız oturuyor	İki kız yerde oturuyor	4.4	ENTAILMENT
296	İki kız yerde yatıyor	Birkaç çocuk oturuyor ve dizlerini kaldırıyor	2.8	NEUTRAL
301	Çıplak bir bayan vücut boyasında bir kalabalığın önünde yürüyor	Bir kalabalığın önünde vücut boyasında yürüyen bir bayan yok	2.9	CONTRADICTION
302	Çıplak bir bayan vücut boyasında bir kalabalığın önünde yürüyor	Vücut boyasında çıplak bir kalabalık bir bayanın önünde yürüyor	3.1	NEUTRAL
303	Genç, üstsüz bir kadın boya ile kaplıdır	Üstsüz bir kız boya ile kaplıdır	4.4	ENTAILMENT
305	Çıplak bir bayan vücut boyasında bir kalabalığın önünde yürüyor	Üstsüz bir kız boya ile kaplıdır	3.8	ENTAILMENT
309	Vücut boyasında çıplak bir kalabalık bir bayanın önünde yürüyor	Genç, üstsüz bir kadın boya ile kaplıdır	3.0	NEUTRAL
310	Çıplak bir bayan vücut boyasında bir kalabalığın önünde yürüyor	Genç, üstsüz bir kadın boya ile kaplıdır	4.2	NEUTRAL
311	Bir grup insan okyanusun yakınında	Bir kalabalık suya yakın	4.3	ENTAILMENT
312	Bir kalabalık suya yakın	Bir insan kalabalığı sudan uzak	3.8	CONTRADICTION
313	Üniformalı bir grup çocuk bir kapıda duruyor ve biri anneyi öpüyor	Aynı kıyafetleri giyen bir grup çocuk bir kapıda bekliyor ve biri anneyi öpüyor	4.5	ENTAILMENT
315	Üniformalı bir grup anne çocukların yanında duruyor ve biri kapıyı öpüyor	Üniformalı bir grup çocuk bir kapıda duruyor ve biri anneyi öpüyor	3.3	NEUTRAL
323	Bir adam park yerinde ve büyük bir duvara karşı tenis oynuyor	Bir adam park yerinde ve bir arkadaşa karşı tenis oynuyor	3.9	NEUTRAL
327	Bir adam park yerinde ve büyük bir duvara karşı tenis oynuyor	Bir arabaya işaret eden hiçbir adam yok	1.5	NEUTRAL
329	Bir adam park yerinde ve bir arkadaşa karşı tenis oynuyor	Bir adam gümüş bir sedanı işaret ediyor	1.3	NEUTRAL
331	Bir grup insan sahilde	Bir grup insan denize yakın	4.0	ENTAILMENT
332	Bir grup insan sahilde	Bir grup insan bir dağda	2.6	NEUTRAL
333	Bir erkek, bir kadın ve iki kız sahilde yürüyor	Plajda dört kişi yürüyor	4.5	ENTAILMENT
335	Bir grup insan sahilde	Plajda dört kişi yürüyor	4.6	NEUTRAL
338	Bir erkek, bir kadın ve iki kız sahilde yürüyor	Bir grup insan bir dağda	1.4	NEUTRAL
339	Bir erkek, bir kadın ve iki kız sahilde yürüyor	Bir grup insan sahilde	4.3	ENTAILMENT
340	Siyah çantalı bir kız öğrenci kalabalık bir trende	Siyah çantalı bir kız kalabalık bir trende	4.7	ENTAILMENT
341	Kalabalık bir trende siyah çantası olan kız yok	Siyah çantalı bir kız kalabalık bir trende	3.7	CONTRADICTION
342	Siyah çantalı bir kız kalabalık bir trende	Bir kızın çantasında sıkışık bir siyah tren	2.7	NEUTRAL
344	Kalabalıktaki Asyalı bir kadın siyah bir çanta taşımıyor	Kalabalıktaki Asyalı bir kadın siyah bir çanta taşıyor	3.8	NEUTRAL
346	Siyah çantalı bir kız kalabalık bir trende	Kalabalıktaki Asyalı bir kadın siyah bir çanta taşımıyor	2.5	NEUTRAL
347	Siyah çantalı bir kız öğrenci kalabalık bir trende	Kalabalıktaki Asyalı bir kadın siyah bir çanta taşıyor	2.8	NEUTRAL
351	Bir köpek başka bir tane kovalıyor ve ağzına bir sopa tutuyor	Bir köpek başka bir tane kovalıyor ve ağzında bir parça tahta tutuyor	4.6	ENTAILMENT
354	İki köpek koşuyor ve ağızlarında bir oyuncak taşıyor	İki köpek koşuyor ve ağızlarında bir nesne taşıyor	4.3	ENTAILMENT
358	Bir köpek başka bir tane kovalıyor ve ağzında bir parça tahta tutuyor	İki köpek koşuyor ve ağızlarında bir nesne taşıyor	3.9	NEUTRAL
360	İki köpek koşuyor ve ağızlarında bir nesne taşıyor	Bir köpek bir sopa kovalıyor ve başka bir köpeği ağzına tutuyor	3.2	NEUTRAL
361	Bir köpek başka bir tane kovalıyor ve ağzına bir sopa tutuyor	İki köpek koşuyor ve ağızlarında bir nesne taşıyor	4.0	ENTAILMENT
362	Kirli bir futbol topu bir gol ağına giriyor	Bir futbol topu bir gol ağına giriyor	4.5	ENTAILMENT
363	Bir futbol topu gol ağına girmiyor	Bir futbol topu bir gol ağına giriyor	3.4	CONTRADICTION
366	Futbol oynayan bir kişi hedefe bir top tekmeliyor	Bir futbol topu bir gol ağına giriyor	4.1	NEUTRAL
367	Bir futbol topu bir gol ağına giriyor	Bir futbolcu hedeften bir top atıyor	3.2	NEUTRAL
370	Bir futbol topu bir gol ağına giriyor	Bir futbolcu hedefe bir top tekmeliyor	4.3	NEUTRAL
372	Bir adam bir sandalyede oturuyor ve gözlerini ovuşturuyor	Bir sandalyede oturan ve gözlerini ovuşturan bir adam yok	3.8	CONTRADICTION
373	Dövmeli bir adam bir kanepede uzanıyor ve bir kalem tutuyor	Dövmeli bir adam kanepede ve kalem tutuyor	4.4	ENTAILMENT
374	Dövmeli bir adam bir kanepede uzanıyor ve bir kalem tutuyor	Dövmeli bir adam bir kanepede uzanıyor ve bir kalem arıyor	2.9	NEUTRAL
375	Dövmeli bir adam kalemle bir kanepe tutuyor	Dövmeli bir adam bir kanepede uzanıyor ve bir kalem tutuyor	2.6	NEUTRAL
377	Bir adam bir sandalyede oturuyor ve gözlerini ovuşturuyor	Dövmeli bir adam bir kanepede uzanıyor ve bir kalem arıyor	2.1	NEUTRAL
378	Dövmeli bir adam kalemle bir kanepe tutuyor	Bir adam bir sandalyede oturuyor ve gözlerini ovuşturuyor	2.0	NEUTRAL
379	Bir adam bir sandalyenin üzerinde dinleniyor ve gözlerini ovuşturuyor	Dövmeli bir adam bir kanepede uzanıyor ve bir kalem tutuyor	2.5	NEUTRAL
380	Dövmeli bir adam bir kanepede uzanıyor ve bir kalem tutuyor	Bir sandalyede oturan ve gözlerini ovuşturan bir adam yok	1.6	NEUTRAL
381	Dövmeli bir adam bir kanepede uzanıyor ve bir kalem tutuyor	Bir adam bir sandalyede oturuyor ve gözlerini ovuşturuyor	2.4	NEUTRAL
387	Kahverengi ve beyaz bir köpek uzun çimlerin içinden geçiyor	Düşük ve yeşil çimlerin içinden siyah ve ten rengi bir köpek koşuyor	3.8	NEUTRAL
390	Beyaz ve ten rengi bir köpek, uzun ve yeşil çimlerin içinden geçiyor	Kahverengi ve beyaz bir köpek uzun çimlerin içinden geçiyor	4.6	ENTAILMENT
391	Boya kaplı kıyafetleri olan bir adam, yoğun bir alanda bir şeyler yazıyor	Bir adam boya ile kaplı ve yoğun bir alanda dışarıda oturan kıyafetler giyiyor.	4.8	ENTAILMENT
392	Boya ile kaplı veya yoğun bir alanda dışarıda oturan kıyafetler giyen kimse yok	Bir adam boya ile kaplı ve yoğun bir alanda dışarıda oturan kıyafetler giyiyor.	4.1	CONTRADICTION
393	Oturan bir adam, boya ile kaplı bir alanda bir şeyler yazmakla meşgul	Bir adam boya ile kaplı ve yoğun bir alanda dışarıda oturan kıyafetler giyiyor.	3.7	NEUTRAL
395	Bir adam bisikletin yanında oturuyor ve bir not yazıyor	Bir bisikletin yakınında not yazan bir adam yok	4.2	CONTRADICTION
396	Bir adam boya ile kaplı ve yoğun bir alanda dışarıda oturan kıyafetler giyiyor.	Bir adam bisikletin yanında duruyor ve bir parça kağıda yazıyor	2.6	NEUTRAL
397	Bir bisikletin yakınında not yazan bir adam yok	Bir adam boya ile kaplı ve yoğun bir alanda dışarıda oturan kıyafetler giyiyor.	2.7	NEUTRAL
398	Bir adam bisikletin yanında oturuyor ve bir not yazıyor	Boya kaplı kıyafetleri olan bir adam, yoğun bir alanda bir şeyler yazıyor	3.1	NEUTRAL
403	Bir grup izci çimlerde kamp yapıyor	Bir grup izci çimlerin içinde yürüyüş yapıyor	3.5	NEUTRAL
404	Bazı insanlar yürüyor	İnsanlar yürüyor	4.7	ENTAILMENT
409	Bazı insanlar yürüyor	Bir grup izci çimlerde kamp yapıyor	1.5	NEUTRAL
410	Bir grup izci çimlerin içinde yürüyüş yapıyor	Bazı insanlar yürüyor	3.2	ENTAILMENT
413	İki adam karlı bir yolda bir geziye mola veriyor	Karlı bir yolda bir gezi sırasında iki adam arabaya giriyor	3.0	NEUTRAL
415	Bisikletli iki adam karlı bir yolun yanında	Arabalı iki adam karlı bir yolun yanında	3.5	NEUTRAL
422	İki adam balıkçılık direkleri ve balıkçılık mücadelesi tutuyor	İki adam balıkçılık direkleri tutuyor	4.3	ENTAILMENT
423	İki adam balıkçılık direkleri tutmuyor	İki adam balıkçılık direkleri tutuyor	3.2	CONTRADICTION
427	İki adam balıkçılık direkleri tutuyor	İki adam suyun yanında duruyor ve balık tutmak için kullanılan aletleri tutuyor	4.3	NEUTRAL
428	Suyun yakınında duran ve balıkçılık direkleri tutan bir kişi yok	İki adam balıkçılık direkleri tutuyor	3.2	NEUTRAL
434	Kasklı kız bisiklet sürüyor	Kasklı kız bisikletle tünemiş	4.2	NEUTRAL
435	Bir kadın bisikletle rampada bir numara yapıyor	Bir kadın bisikletle atlıyor	4.3	NEUTRAL
436	Bir kadın bisikletle rampada bir numara yapıyor	Bir kadın bir araba ile rampada bir numara yapıyor	2.4	NEUTRAL
438	Kasklı kız bisikletle tünemiş	Bir kadın bir araba ile rampada bir numara yapıyor	1.9	NEUTRAL
439	Kasklı kız bisiklet üzerinde tünemiş	Bir kadın bisikletle rampada bir numara yapıyor	2.9	NEUTRAL
440	Kasklı kız bisiklet sürüyor	Bir kadın bisikletle rampada bir numara yapıyor	3.7	NEUTRAL
441	Bir kadın bisikletle rampada bir numara yapıyor	Kasklı kız bisikletle tünemiş	3.3	NEUTRAL
442	Sarışın bir kız sörf yapıyor	Sarışın bir kız dalgalara biniyor	4.7	ENTAILMENT
446	Bir bayan sörf yapıyor ve dalga sürüyor	Bir çocuk sörf yapıyor ve dalga sürüyor	3.5	NEUTRAL
447	Bir kadın sörf yapıyor	Sarışın bir kız dalgalara biniyor	4.0	NEUTRAL
449	Bir bayan sörf yapıyor ve dalga sürüyor	Sarışın bir kız sörf yapıyor	3.6	NEUTRAL
451	Sarışın bir kız sürerken dalgalanıyor	Bir bayan sörf yapıyor ve dalga sürüyor	2.3	NEUTRAL
454	İki çocuk ve bir yetişkin ağaç uzuvunun yanında duruyor	İki çocuk ve bir yetişkin ağaç uzuvunun yanında durmuyor	3.6	CONTRADICTION
457	İki çocuk ve bir yetişkin ağaç uzuvunun yanında duruyor	İki çocuk bir ağaca tırmanıyor	3.0	NEUTRAL
461	İki çocuk ve bir yetişkin ağaç uzuvunun yanında duruyor	İki çocuk büyük bir şubeye asılıyor	2.7	NEUTRAL
462	Siyah giyinmiş bir adam bisiklet sürüyor	Bir adam bisiklette bir numara yapıyor	3.5	NEUTRAL
465	Bir adam yeşil bir bisiklet üzerinde dublör yapıyor	Bir adam yeşil bir bisiklet üzerinde bir numara yapıyor	4.7	ENTAILMENT
470	Siyah giyinmiş ve yeşil bisiklet süren bir adam yok	Bir adam yeşil bir bisiklet üzerinde bir numara yapıyor	3.4	NEUTRAL
473	Bir çocuk fışkırtma tabancası tutuyor	Bir çocuk fışkırtma tabancası tutuyor	4.5	ENTAILMENT
475	Gülen bir çocuk su tabancası tutuyor ve su püskürtülüyor	Su püsküren silahı olan bir çocuk gülüyor ve diğer erkekler tarafından vuruluyor	4.0	NEUTRAL
476	Su tabancası tutan veya su püskürtülen çocuk yok	Gülen bir çocuk su tabancası tutuyor ve su püskürtülüyor	4.0	CONTRADICTION
477	Su püsküren silahı olan bir çocuk gülüyor ve diğer erkekler tarafından vuruluyor	Bir çocuk fışkırtma tabancası tutuyor	3.9	ENTAILMENT
484	İki Dachshunds kırmızı bir topla oynuyor	İki köpek küçük bir kırmızı topla oynuyor	4.2	NEUTRAL
485	İki kedi kırmızı bir topla oynuyor	İki Dachshunds kırmızı bir topla oynuyor	3.3	NEUTRAL
